          60          60
          70          76          77          83          84          91
          92          98          99         106         107         113
         114         118         119         127         128         135
         136         147         148         159         160         170
         171         180         181         190         191         198
         199         207         208         214         215         222
         223         229         230         235         236         241
         242         248         249         257         258         264
         265         271         272         277         278         281
         282         287         288         293         294         299
         300         304         305         308         309         314
           1           5           0           0           6           8
           9          11           0           0           0           0
           0           0           0           0          12          14
          15          17          18          20          21          23
          24          27          28          32          33          37
          38          42          43          47          48          51
          52          55          56          58           0           0
          59          62          63          66          67          70
          71          74          75          79          80          85
          86          92          93         102         103         111
         112         120         121         128         129         136
         137         145         146         155         156         167
         168         181         182         194         195         205
         206         217         218         226         227         235
         236         243         244         251         252         257
         258         263         264         271         272         279
         280         287         288         294         295         300
         301         306         307         313         314         320
         321         326         327         331         332         335
         336         339         340         342         343         344
           1           6           7           9          10          12
          13          16          17          21          22          24
          25          27          28          30          31          33
          34          36          37          40          41          44
          45          47          48          51          52          56
          57          62          63          66          67          71
          72          77          78          82          83          86
          87          90          91          96          97         101
         102         106         107         111         112         118
         119         130         131         140         141         149
         150         158         159         167         168         178
         179         190         191         202         203         215
         216         229         230         242         243         255
         256         268         269         280         281         288
         289         295         296         302         303         310
         311         319         320         327         328         334
         335         341         342         348         349         356
         357         363         364         369         370         374
         375         378         379         382         383         385
           0           0           0           0         386         387
           1           6           7           9          10          12
          13          15          16          19          20          23
          24          27          28          32          33          38
          39          44          45          49          50          53
          54          57          58          60          61          64
          65          69          70          74          75          78
          79          84          85          90          91          95
          96          99         100         105         106         111
         112         118         119         123         124         131
         132         144         145         155         156         165
         166         177         178         187         188         198
         199         212         213         225         226         239
         240         252         253         265         266         278
         279         290         291         299         300         307
         308         316         317         326         327         335
         336         343         344         351         352         360
         361         368         369         375         376         382
         383         388         389         392         393         395
         396         398           0           0           0           0
           0           0           0           0         399         400
           1           6           7          11          12          16
          17          19          20          22          23          26
          27          30          31          35          36          40
          41          46          47          52          53          58
          59          64          65          69          70          74
          75          78          79          84          85          91
          92          97          98         103         104         109
         110         116         117         123         124         128
         129         135         136         142         143         151
         152         163         164         174         175         186
         187         199         200         210         211         223
         224         236         237         249         250         262
         263         276         277         291         292         304
         305         314         315         324         325         335
         336         345         346         353         354         362
         363         371         372         378         379         387
         388         397         398         405         406         412
         413         417         418         422         423         426
           0           0           0           0           0           0
           0           0           0           0         427         428
           1           5           6           8           9          15
          16          22          23          28          29          32
          33          37          38          41          42          45
          46          50          51          55          56          60
          61          65          66          71          72          77
          78          82          83          87          88          96
          97         105         106         113         114         120
         121         129         130         137         138         144
         145         150         151         158         159         166
         167         177         178         188         189         200
         201         213         214         226         227         239
         240         253         254         266         267         281
         282         299         300         313         314         327
         328         340         341         356         357         370
         371         381         382         390         391         399
         400         409         410         420         421         430
         431         440         441         448         449         454
         455         460           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0         461         462
           1           7           8          12          13          17
          18          24          25          31          32          36
          37          41          42          46          47          51
          52          55          56          60          61          65
          66          71          72          78          79          86
          87          95          96         103         104         112
         113         121         122         130         131         138
         139         147         148         156         157         163
         164         171         172         180         181         190
         191         201         202         213         214         226
         227         239         240         252         253         266
         267         279         280         296         297         314
         315         333         334         349         350         367
         368         385         386         401         402         413
         414         425         426         437         438         448
         449         459         460         470         471         478
         479         485         486         489         490         492
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0         493         494
           1           9          10          17          18          25
          26          32          33          39          40          47
          48          55          56          62          63          69
          70          75          76          81          82          87
          88          92          93          99         100         108
         109         119         120         128         129         137
         138         146         147         155         156         164
         165         173         174         182         183         190
         191         200         201         211         212         222
         223         234         235         248         249         263
         264         277         278         291         292         305
         306         322         323         340         341         359
         360         377         378         398         399         417
         418         434         435         448         449         461
         462         474         475         486         487         495
         496         503         504         509         510         513
         514         516         517         519           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0         520         521
           1           8           9          14          15          20
          21          26          27          33          34          41
          42          50          51          59          60          67
          68          75          76          82          83          89
          90          96          97         103         104         112
         113         123         124         134         135         145
         146         155         156         165         166         175
         176         184         185         194         195         204
         205         215         216         225         226         236
         237         248         249         262         263         278
         279         296         297         312         313         333
         334         357         358         380         381         401
         402         421         422         441         442         460
         461         475         476         489         490         502
         503         513         514         521         522         528
         529         534         535         537         538         540
