           4  -295.0000    
   135.0000      -5.000000               0
   135.0000       60.25000             542
   135.0000       93.00000             543
   135.0000       100.2500             544
   135.0000       115.2500             545
   135.0000       127.7500             546
   135.0000       200.0000               0
   145.0000      -5.000000               0
   145.0000       58.25000             547
   145.0000       64.00000             548
   145.0000       96.50000             549
   145.0000       117.0000             550
   145.0000       200.0000               0
   155.0000      -5.000000               0
   155.0000       62.50000             551
   155.0000       110.5000             552
   155.0000       119.7500             553
   155.0000       141.2500             554
   155.0000       200.0000               0
   165.0000      -5.000000               0
   165.0000       84.75000             555
   165.0000       108.0000             556
   165.0000       114.2500             557
   165.0000       127.5000             558
   165.0000       143.2500             559
   165.0000       200.0000               0
   175.0000      -5.000000               0
   175.0000       84.75000             560
   175.0000       112.5000             561
   175.0000       136.7500             562
   175.0000       200.0000               0
   185.0000      -5.000000               0
   185.0000       82.25000             563
   185.0000       92.00000             564
   185.0000       200.0000               0
   195.0000      -5.000000               0
   195.0000       137.5000             565
   195.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         175  -225.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -285.0000      -5.000000               0
  -285.0000       62.75000             566
  -285.0000       200.0000               0
  -275.0000      -5.000000               0
  -275.0000       61.75000             567
  -275.0000       200.0000               0
  -265.0000      -5.000000               0
  -265.0000       63.00000             568
  -265.0000       200.0000               0
  -85.00000      -5.000000               0
  -85.00000       66.25000             569
  -85.00000       124.5000             570
  -85.00000       200.0000               0
  -75.00000      -5.000000               0
  -75.00000       55.75000             571
  -75.00000       63.00000             572
  -75.00000       115.7500             573
  -75.00000       200.0000               0
  -65.00000      -5.000000               0
  -65.00000       115.5000             574
  -65.00000       200.0000               0
  -55.00000      -5.000000               0
  -55.00000       57.25000             575
  -55.00000       69.25000             576
  -55.00000       200.0000               0
  -45.00000      -5.000000               0
  -45.00000       63.50000             577
  -45.00000       200.0000               0
  -35.00000      -5.000000               0
  -35.00000       60.50000             578
  -35.00000       200.0000               0
  -25.00000      -5.000000               0
  -25.00000       64.25000             579
  -25.00000       200.0000               0
  -15.00000      -5.000000               0
  -15.00000       66.50000             580
  -15.00000       200.0000               0
  -5.000000      -5.000000               0
  -5.000000       63.75000             581
  -5.000000       102.0000             582
  -5.000000       115.7500             583
  -5.000000       200.0000               0
   5.000000      -5.000000               0
   5.000000       51.00000             584
   5.000000       85.25000             585
   5.000000       98.75000             586
   5.000000       107.2500             587
   5.000000       200.0000               0
   15.00000      -5.000000               0
